Date,Open,Close
1994-02-22,7.375,7.25
1994-02-23,7.125,6.9375
1994-02-24,6.9375,6.8125
1994-02-25,6.6875,6.4375
1994-02-28,6.5,6.625
1994-03-01,6.625,6.5625
1994-03-02,6.4375,6.5625
1994-03-03,6.625,6.5
1994-03-04,6.5,6.75
1994-03-07,6.4375,6.75
1994-03-08,6.75,6.8125
1994-03-09,6.8125,6.875
1994-03-10,6.875,6.875
1994-03-11,6.9375,7.1875
1994-03-14,7.1875,7.5625
1994-03-15,7.5625,7.4375
1994-03-16,7.4375,7.4375
1994-03-17,7.4375,7.5625
1994-03-18,7.625,7.625
1994-03-21,7.625,7.6875
1994-03-22,7.6875,7.8125
1994-03-23,7.8125,7.875
1994-03-24,7.8125,7.75
1994-03-25,7.8125,7.6875
1994-03-28,7.6875,7.625
1994-03-29,7.625,7.5
1994-03-30,7.5,7.375
1994-03-31,7.375,7.375
1994-04-04,7.125,7.375
1994-04-05,7.3125,7.625
1994-04-06,7.625,7.375
1994-04-07,7.5,7.4375
1994-04-08,7.3125,7.5
1994-04-11,7.5,7.25
1994-04-12,7.125,7.125
1994-04-13,7.125,7.0
1994-04-14,7.0625,6.9375
1994-04-15,6.875,6.875
1994-04-18,7.0,7.25
1994-04-19,7.1875,7.25
1994-04-20,7.3125,7.125
1994-04-21,7.125,6.875
1994-04-22,7.0,7.25
1994-04-25,7.1875,7.625
1994-04-26,7.5625,7.375
1994-04-28,7.3125,7.3125
1994-04-29,7.25,7.25
1994-05-02,7.1875,7.1875
1994-05-03,7.25,7.1875
1994-05-04,7.125,7.3125
1994-05-05,7.3125,7.25
1994-05-06,7.25,7.25
1994-05-09,7.25,7.25
1994-05-10,7.25,7.5
1994-05-11,7.5,7.5625
1994-05-12,7.5,7.75
1994-05-13,7.6875,7.375
1994-05-16,7.375,7.4375
1994-05-17,7.5,7.5
1994-05-18,7.5,7.5
1994-05-19,7.4375,7.5625
1994-05-20,7.5,7.375
1994-05-23,7.3125,7.25
1994-05-24,7.4375,7.5625
1994-05-25,7.5,7.6875
1994-05-26,7.75,7.75
1994-05-27,7.6875,7.8125
1994-05-31,7.9375,8.0625
1994-06-01,8.0625,7.875
1994-06-02,8.0,7.875
1994-06-03,7.8125,7.75
1994-06-06,7.875,7.875
1994-06-07,7.75,7.9375
1994-06-08,7.9375,7.875
1994-06-09,7.8125,7.875
1994-06-10,7.875,7.6875
1994-06-13,7.75,7.875
1994-06-14,7.875,8.0625
1994-06-15,8.0,8.1875
1994-06-16,8.125,8.5
1994-06-17,8.5,8.25
1994-06-20,8.125,8.125
1994-06-21,8.125,8.5
1994-06-22,8.375,8.5
1994-06-23,8.4375,8.5
1994-06-24,8.4375,8.375
1994-06-27,8.375,8.25
1994-06-28,8.1875,8.125
1994-06-29,8.125,8.0
1994-06-30,8.0,8.1875
1994-07-01,8.1875,8.125
1994-07-05,8.0625,8.1875
1994-07-06,8.1875,8.125
1994-07-07,8.125,8.1875
1994-07-08,8.125,8.25
1994-07-11,8.1875,8.25
1994-07-12,8.25,8.0625
1994-07-13,8.0625,8.0625
1994-07-14,7.9375,8.0625
1994-07-15,7.9375,8.0625
1994-07-18,8.0625,8.1875
1994-07-19,8.3125,8.375
1994-07-20,8.375,8.5625
1994-07-21,8.4375,8.5625
1994-07-22,8.5625,8.5625
1994-07-25,8.625,8.625
1994-07-26,8.75,8.6875
1994-07-27,8.625,8.6875
1994-07-28,8.625,8.625
1994-07-29,8.625,8.6875
1994-08-01,8.625,8.6875
1994-08-02,8.75,8.8125
1994-08-03,8.8125,8.8125
1994-08-04,8.25,7.9375
1994-08-05,7.9375,7.75
1994-08-08,7.8125,7.8125
1994-08-09,7.875,7.75
1994-08-10,7.75,7.6875
1994-08-11,7.625,7.5625
1994-08-12,7.5625,7.6875
1994-08-15,7.625,7.8125
1994-08-16,7.8125,8.0625
1994-08-17,8.0625,8.0625
1994-08-18,8.0,8.0
1994-08-19,8.0625,8.25
1994-08-22,8.125,8.125
1994-08-23,8.1875,8.125
1994-08-24,8.125,7.9375
1994-08-25,7.8125,7.6875
1994-08-26,7.625,7.625
1994-08-29,7.5625,7.6875
1994-08-30,7.5625,7.5
1994-08-31,7.625,7.5
1994-09-01,7.625,7.4375
1994-09-02,7.4375,7.4375
1994-09-06,7.4375,7.5
1994-09-07,7.5625,7.375
1994-09-08,7.375,7.375
1994-09-09,7.3125,7.3125
1994-09-12,7.4375,7.3125
1994-09-13,7.4375,7.4375
1994-09-14,7.375,7.375
1994-09-15,7.375,7.1875
1994-09-16,7.25,7.25
1994-09-19,7.25,7.25
1994-09-20,7.4375,7.5625
1994-09-21,7.5,7.4375
1994-09-22,7.375,7.25
1994-09-23,7.3125,7.1875
1994-09-26,7.25,7.25
