Date,Open,Close
2019-01-02,124.83999633789062,126.5999984741211
2019-01-03,125.83000183105469,123.44999694824219
2019-01-04,125.33000183105469,127.18000030517578
2019-01-07,127.11000061035156,127.20999908447266
2019-01-08,128.9600067138672,130.00999450683594
2019-01-09,130.5399932861328,129.99000549316406
2019-01-10,128.0,131.44000244140625
2019-01-11,130.49000549316406,130.30999755859375
2019-01-14,129.30999755859375,130.1699981689453
2019-01-15,130.75999450683594,130.08999633789062
2019-01-16,130.11000061035156,129.97000122070312
2019-01-17,129.44000244140625,132.6699981689453
2019-01-18,133.7100067138672,136.6699981689453
2019-01-22,134.97999572753906,132.1699981689453
2019-01-23,132.69000244140625,131.11000061035156
2019-01-24,131.30999755859375,130.92999267578125
2019-01-25,132.5,133.25
2019-01-28,131.66000366210938,131.0500030517578
2019-01-29,131.55999755859375,134.94000244140625
2019-01-30,135.8300018310547,135.61000061035156
2019-01-31,135.25,137.30999755859375
2019-02-01,132.6199951171875,134.42999267578125
2019-02-04,135.3300018310547,138.41000366210938
2019-02-05,136.0500030517578,137.83999633789062
2019-02-06,137.94000244140625,137.57000732421875
2019-02-07,136.4600067138672,135.02000427246094
2019-02-08,134.3800048828125,135.72000122070312
2019-02-11,136.44000244140625,136.22999572753906
2019-02-12,137.14999389648438,138.63999938964844
2019-02-13,139.08999633789062,139.82000732421875
2019-02-14,139.19000244140625,138.75
2019-02-15,140.0,144.2100067138672
2019-02-19,143.38999938964844,143.25
2019-02-20,143.47000122070312,143.61000061035156
2019-02-21,143.2100067138672,143.22000122070312
2019-02-22,143.1999969482422,144.8300018310547
2019-02-25,145.41000366210938,145.02000427246094
2019-02-26,144.3699951171875,144.33999633789062
2019-02-27,144.00999450683594,145.3000030517578
2019-02-28,145.14999389648438,144.0800018310547
2019-03-01,145.0399932861328,144.41000366210938
2019-03-04,145.47000122070312,144.33999633789062
2019-03-05,144.1999969482422,143.66000366210938
2019-03-06,143.92999267578125,142.5500030517578
2019-03-07,142.25999450683594,140.75
2019-03-08,139.69000244140625,140.64999389648438
2019-03-11,140.50999450683594,143.6300048828125
2019-03-12,143.80999755859375,143.97999572753906
2019-03-13,144.74000549316406,145.22999572753906
2019-03-14,144.8300018310547,144.89999389648438
2019-03-15,145.25999450683594,143.17999267578125
2019-03-18,143.57000732421875,145.3800048828125
2019-03-19,146.02000427246094,145.99000549316406
2019-03-20,145.6999969482422,145.66000366210938
2019-03-21,145.0399932861328,146.47000122070312
2019-03-22,145.97999572753906,141.64999389648438
2019-03-25,141.60000610351562,142.0399932861328
2019-03-26,143.25,143.25
2019-03-27,143.24000549316406,142.6300048828125
2019-03-28,142.22000122070312,142.85000610351562
2019-03-29,143.72000122070312,143.52999877929688
2019-04-01,144.50999450683594,148.33999633789062
2019-04-02,148.72999572753906,148.74000549316406
2019-04-03,149.63999938964844,150.1199951171875
2019-04-04,150.49000549316406,151.75999450683594
2019-04-05,152.0,152.1999969482422
2019-04-08,151.6300048828125,153.91000366210938
2019-04-09,152.77000427246094,150.99000549316406
2019-04-10,151.52999877929688,151.69000244140625
2019-04-11,152.19000244140625,154.3300018310547
2019-04-12,155.44000244140625,156.39999389648438
2019-04-15,156.66000366210938,155.6199951171875
2019-04-16,156.0500030517578,157.75
2019-04-17,158.07000732421875,156.14999389648438
2019-04-18,156.58999633789062,158.3300018310547
2019-04-22,158.05999755859375,157.19000244140625
2019-04-23,157.25999450683594,157.92999267578125
2019-04-24,158.08999633789062,156.80999755859375
2019-04-25,152.05999755859375,151.2100067138672
2019-04-26,152.69000244140625,153.58999633789062
2019-04-29,154.27999877929688,155.00999450683594
2019-04-30,155.27000427246094,155.6300048828125
2019-05-01,156.17999267578125,154.35000610351562
2019-05-02,153.9199981689453,154.60000610351562
2019-05-03,155.6199951171875,157.41000366210938
2019-05-06,154.13999938964844,155.3300018310547
2019-05-07,155.67999267578125,151.63999938964844
2019-05-08,151.5500030517578,151.1300048828125
2019-05-09,148.97000122070312,151.55999755859375
2019-05-10,151.14999389648438,152.75999450683594
2019-05-13,148.9600067138672,147.69000244140625
2019-05-14,148.60000610351562,148.9499969482422
2019-05-15,147.58999633789062,150.94000244140625
2019-05-16,152.10000610351562,152.47000122070312
2019-05-17,150.72999572753906,150.60000610351562
2019-05-20,149.6699981689453,149.4199981689453
2019-05-21,150.6300048828125,151.2100067138672
2019-05-22,150.83999633789062,149.9600067138672
