Date,AAPL,AAP
2019-01-10,153.8000030517578,165.07000732421875
2019-01-11,152.2899932861328,159.4199981689453
2019-01-14,150.0,158.72000122070312
2019-01-15,153.07000732421875,160.27999877929688
2019-01-16,154.94000244140625,162.44000244140625
2019-01-17,155.86000061035156,166.27999877929688
2019-01-18,156.82000732421875,167.61000061035156
2019-01-22,153.3000030517578,164.1300048828125
2019-01-23,153.9199981689453,164.3300018310547
2019-01-24,152.6999969482422,156.30999755859375
2019-01-25,157.75999450683594,153.22000122070312
2019-01-28,156.3000030517578,154.86000061035156
2019-01-29,154.67999267578125,155.38999938964844
2019-01-30,165.25,159.0399932861328
