Date,AAPL,AAP
2019-01-04,148.26,158.81
2019-01-07,147.93,161.14
2019-01-08,150.75,160.02
2019-01-09,153.31,164.43
2019-01-10,153.8,165.07
2019-01-11,152.29,159.42
2019-01-14,150.0,158.72
2019-01-15,153.07,160.28
2019-01-16,154.94,162.44
2019-01-17,155.86,166.28
2019-01-18,156.82,167.61
2019-01-22,153.3,164.13
2019-01-23,153.92,164.33
2019-01-24,152.7,156.31
2019-01-25,157.76,153.22
2019-01-28,156.3,154.86
2019-01-29,154.68,155.39
2019-01-30,165.25,159.04
