,Date,Close,Date,Close
0,2019-01-02,157.9199981689453,2019-01-02,190.9499969482422
1,2019-01-03,142.19000244140625,2019-01-03,183.75999450683597
2,2019-01-04,148.25999450683594,2019-01-04,191.32000732421875
3,2019-01-07,147.92999267578125,2019-01-07,190.8800048828125
4,2019-01-08,150.75,2019-01-08,191.67999267578125
5,2019-01-09,153.30999755859375,2019-01-09,192.3000030517578
6,2019-01-10,153.8000030517578,2019-01-10,193.6000061035156
7,2019-01-11,152.2899932861328,2019-01-11,192.2100067138672
8,2019-01-14,150.0,2019-01-14,192.1699981689453
9,2019-01-15,153.07000732421875,2019-01-15,188.94000244140625
10,2019-01-16,154.94000244140625,2019-01-16,189.47999572753903
11,2019-01-17,155.86000061035156,2019-01-17,191.7100067138672
12,2019-01-18,156.82000732421875,2019-01-18,195.8600006103516
13,2019-01-22,153.3000030517578,2019-01-22,192.25999450683597
14,2019-01-23,153.9199981689453,2019-01-23,192.2899932861328
15,2019-01-24,152.6999969482422,2019-01-24,192.5200042724609
16,2019-01-25,157.75999450683594,2019-01-25,195.8999938964844
17,2019-01-28,156.3000030517578,2019-01-28,193.1999969482422
18,2019-01-29,154.67999267578125,2019-01-29,196.9499969482422
19,2019-01-30,165.25,2019-01-30,199.2700042724609
20,2019-01-31,166.44000244140625,2019-01-31,200.3000030517578
21,2019-02-01,166.52000427246094,2019-02-01,199.16000366210938
22,2019-02-04,171.25,2019-02-04,200.2100067138672
23,2019-02-05,174.17999267578125,2019-02-05,201.1199951171875
24,2019-02-06,174.24000549316406,2019-02-06,202.57000732421875
25,2019-02-07,170.94000244140625,2019-02-07,199.83999633789062
26,2019-02-08,170.41000366210938,2019-02-08,199.82000732421875
27,2019-02-11,169.42999267578125,2019-02-11,200.91000366210938
28,2019-02-12,170.88999938964844,2019-02-12,206.57000732421875
29,2019-02-13,170.17999267578125,2019-02-13,209.72000122070312
30,2019-02-14,170.8000030517578,2019-02-14,204.92999267578125
31,2019-02-15,170.4199981689453,2019-02-15,208.8600006103516
32,2019-02-19,170.92999267578125,2019-02-19,208.41000366210938
33,2019-02-20,172.02999877929688,2019-02-20,208.52999877929688
34,2019-02-21,171.05999755859375,2019-02-21,207.7700042724609
35,2019-02-22,172.97000122070312,2019-02-22,209.3500061035156
36,2019-02-25,174.22999572753906,2019-02-25,210.5800018310547
37,2019-02-26,174.3300018310547,2019-02-26,209.3800048828125
38,2019-02-27,174.8699951171875,2019-02-27,209.02999877929688
39,2019-02-28,173.14999389648438,2019-02-28,207.38999938964844
40,2019-03-01,174.97000122070312,2019-03-01,207.4900054931641
41,2019-03-04,175.85000610351562,2019-03-04,206.8600006103516
42,2019-03-05,175.52999877929688,2019-03-05,203.83999633789062
43,2019-03-06,174.52000427246094,2019-03-06,202.8000030517578
44,2019-03-07,172.5,2019-03-07,199.8600006103516
45,2019-03-08,172.91000366210938,2019-03-08,200.88999938964844
46,2019-03-11,178.89999389648438,2019-03-11,207.1000061035156
47,2019-03-12,180.91000366210938,2019-03-12,205.8000030517578
48,2019-03-13,181.7100067138672,2019-03-13,206.66000366210938
49,2019-03-14,183.72999572753903,2019-03-14,207.3800048828125
50,2019-03-15,186.1199951171875,2019-03-15,208.0800018310547
51,2019-03-18,188.0200042724609,2019-03-18,208.4900054931641
52,2019-03-19,186.52999877929688,2019-03-19,209.0200042724609
53,2019-03-20,188.16000366210938,2019-03-20,208.3000030517578
54,2019-03-21,195.08999633789062,2019-03-21,209.6100006103516
55,2019-03-22,191.0500030517578,2019-03-22,204.66000366210938
56,2019-03-25,188.7400054931641,2019-03-25,203.2100067138672
57,2019-03-26,186.7899932861328,2019-03-26,207.2400054931641
58,2019-03-27,188.47000122070312,2019-03-27,207.16000366210938
59,2019-03-28,188.72000122070312,2019-03-28,208.52999877929688
60,2019-03-29,189.9499969482422,2019-03-29,207.77999877929688
61,2019-04-01,191.2400054931641,2019-04-01,211.94000244140625
62,2019-04-02,194.0200042724609,2019-04-02,212.1300048828125
63,2019-04-03,195.3500061035156,2019-04-03,213.1300048828125
64,2019-04-04,195.69000244140625,2019-04-04,215.02999877929688
65,2019-04-05,197.0,2019-04-05,215.41000366210938
66,2019-04-08,200.1000061035156,2019-04-08,215.0200042724609
67,2019-04-09,199.5,2019-04-09,211.9600067138672
68,2019-04-10,200.6199951171875,2019-04-10,212.1100006103516
69,2019-04-11,198.9499969482422,2019-04-11,213.52999877929688
70,2019-04-12,198.8699951171875,2019-04-12,217.4199981689453
71,2019-04-15,199.22999572753903,2019-04-15,215.8300018310547
72,2019-04-16,199.25,2019-04-16,216.8999938964844
73,2019-04-17,203.1300048828125,2019-04-17,217.63999938964844
74,2019-04-18,203.8600006103516,2019-04-18,218.8800048828125
75,2019-04-22,204.52999877929688,2019-04-22,218.5399932861328
76,2019-04-23,207.47999572753903,2019-04-23,219.5
77,2019-04-24,207.16000366210938,2019-04-24,219.0800018310547
78,2019-04-25,205.27999877929688,2019-04-25,190.72000122070312
79,2019-04-26,204.3000030517578,2019-04-26,191.6699981689453
80,2019-04-29,204.6100006103516,2019-04-29,190.2100067138672
81,2019-04-30,200.6699981689453,2019-04-30,189.50999450683597
82,2019-05-01,210.5200042724609,2019-05-01,186.07000732421875
83,2019-05-02,209.1499938964844,2019-05-02,184.75
84,2019-05-03,211.75,2019-05-03,185.22000122070312
85,2019-05-06,208.47999572753903,2019-05-06,183.0399932861328
86,2019-05-07,202.8600006103516,2019-05-07,179.1199951171875
87,2019-05-08,202.8999938964844,2019-05-08,178.58999633789062
88,2019-05-09,200.72000122070312,2019-05-09,175.27999877929688
89,2019-05-10,197.17999267578125,2019-05-10,175.86000061035156
90,2019-05-13,185.72000122070312,2019-05-13,174.07000732421875
91,2019-05-14,188.66000366210938,2019-05-14,175.2100067138672
92,2019-05-15,190.9199981689453,2019-05-15,174.1199951171875
93,2019-05-16,190.0800018310547,2019-05-16,171.80999755859375
94,2019-05-17,189.0,2019-05-17,169.08999633789062
95,2019-05-20,183.08999633789062,2019-05-20,166.25
96,2019-05-21,186.6000061035156,2019-05-21,167.3000030517578
97,2019-05-22,182.77999877929688,2019-05-22,169.74000549316406
98,2019-05-23,179.66000366210938,2019-05-23,165.8699951171875
99,2019-05-24,178.97000122070312,2019-05-24,166.08999633789062
100,2019-05-28,178.22999572753906,2019-05-28,163.35000610351562
101,2019-05-29,177.3800048828125,2019-05-29,161.39999389648438
102,2019-05-30,178.3000030517578,2019-05-30,160.5800018310547
103,2019-05-31,175.07000732421875,2019-05-31,159.75
104,2019-06-03,173.3000030517578,2019-06-03,160.0399932861328
105,2019-06-04,179.63999938964844,2019-06-04,164.2899932861328
106,2019-06-05,182.5399932861328,2019-06-05,163.85000610351562
107,2019-06-06,185.22000122070312,2019-06-06,164.72000122070312
108,2019-06-07,190.1499938964844,2019-06-07,166.61000061035156
109,2019-06-10,192.5800018310547,2019-06-10,168.2899932861328
110,2019-06-11,194.80999755859372,2019-06-11,168.91000366210938
111,2019-06-12,194.19000244140625,2019-06-12,169.00999450683594
112,2019-06-13,194.1499938964844,2019-06-13,168.85000610351562
113,2019-06-14,192.7400054931641,2019-06-14,166.69000244140625
114,2019-06-17,193.88999938964844,2019-06-17,166.77999877929688
115,2019-06-18,198.4499969482422,2019-06-18,171.86000061035156
116,2019-06-19,197.8699951171875,2019-06-19,170.75
117,2019-06-20,199.4600067138672,2019-06-20,173.94000244140625
118,2019-06-21,198.77999877929688,2019-06-21,173.35000610351562
119,2019-06-24,198.5800018310547,2019-06-24,173.3800048828125
120,2019-06-25,195.57000732421875,2019-06-25,172.02999877929688
121,2019-06-26,199.8000030517578,2019-06-26,171.8800048828125
122,2019-06-27,199.7400054931641,2019-06-27,171.5
123,2019-06-28,197.9199981689453,2019-06-28,173.33999633789062
124,2019-07-01,201.5500030517578,2019-07-01,174.50999450683594
125,2019-07-02,202.72999572753903,2019-07-02,174.02000427246094
126,2019-07-03,204.41000366210938,2019-07-03,174.97999572753906
127,2019-07-05,204.22999572753903,2019-07-05,172.0
128,2019-07-08,200.0200042724609,2019-07-08,169.19000244140625
129,2019-07-09,201.2400054931641,2019-07-09,165.6999969482422
130,2019-07-10,203.22999572753903,2019-07-10,165.6999969482422
131,2019-07-11,201.75,2019-07-11,169.0399932861328
132,2019-07-12,203.3000030517578,2019-07-12,173.33999633789062
133,2019-07-15,205.2100067138672,2019-07-15,172.83999633789062
134,2019-07-16,204.5,2019-07-16,176.49000549316406
135,2019-07-17,203.3500061035156,2019-07-17,174.6699981689453
136,2019-07-18,205.66000366210938,2019-07-18,173.05999755859375
137,2019-07-19,202.58999633789062,2019-07-19,172.61000061035156
138,2019-07-22,207.22000122070312,2019-07-22,174.63999938964844
139,2019-07-23,208.83999633789062,2019-07-23,177.52000427246094
140,2019-07-24,208.6699981689453,2019-07-24,179.4199981689453
141,2019-07-25,207.0200042724609,2019-07-25,178.1300048828125
142,2019-07-26,207.7400054931641,2019-07-26,173.97999572753906
