Date,AAP,Prediction AAP,Outcome AAP,ABBV,Prediction ABBV,Outcome ABBV,ABT,Prediction ABT,Outcome ABT,ACN,Prediction ACN,Outcome ACN,ADBE,Prediction ADBE,Outcome ADBE
2019-04-15,181.43,0.0,True,81.03,1.0,False,77.5,1.0,True,179.3,1.0,True,272.22,0.0,False
2019-04-16,179.95,,,80.21,,,76.38,,,179.06,,,271.43,,
2019-04-17,176.81,,,77.98,,,72.88,,,178.95,,,269.45,,
2019-04-18,175.4,,,77.57,,,73.92,,,178.61,,,270.57,,
2019-04-22,170.08,,,78.15,,,74.51,,,178.07,,,272.21,,
2019-04-23,172.47,,,78.66,,,76.1,,,180.48,,,278.49,,
2019-04-24,171.86,,,78.67,,,76.75,,,180.81,,,275.45,,
2019-04-25,170.64,,,79.34,,,78.11,,,179.95,,,277.66,,
2019-04-26,170.19,,,79.7,,,78.56,,,180.83,,,281.96,,
2019-04-29,166.77,,,80.3,,,78.27,,,181.21,,,286.14,,
2019-04-30,166.32,,,79.39,,,79.56,,,182.67,,,289.25,,
2019-05-01,163.83,,,78.89,,,78.74,,,181.31,,,283.35,,
2019-05-02,166.78,,,78.47,,,78.78,,,179.39,,,279.64,,
2019-05-03,163.27,,,78.71,,,78.69,,,176.98,,,285.58,,
2019-05-06,161.99,,,79.26,,,79.07,,,176.26,,,283.66,,
2019-05-07,160.66,,,77.95,,,76.91,,,173.94,,,277.07,,
2019-05-08,158.62,,,77.99,,,76.22,,,173.82,,,276.77,,
2019-05-09,159.89,,,77.91,,,76.42,,,174.46,,,275.79,,
2019-05-10,158.12,,,77.45,,,76.45,,,174.3,,,278.48,,
2019-05-13,155.37,,,76.87,,,75.5,,,171.02,,,267.7,,
2019-05-14,155.75,,,78.44,,,76.03,,,173.61,,,271.86,,
2019-05-15,155.83,,,78.78,,,76.51,,,175.4,,,276.82,,
2019-05-16,157.28,,,79.5,,,76.6,,,178.17,,,283.55,,
2019-05-17,157.97,,,79.46,,,75.97,,,178.33,,,279.85,,
2019-05-20,158.64,,,79.82,,,75.77,,,178.54,,,275.45,,
2019-05-21,161.3,,,80.88,,,76.03,,,179.57,,,278.07,,
2019-05-22,166.29,,,81.59,,,76.26,,,180.39,,,281.82,,
2019-05-23,159.8,,,81.15,,,75.63,,,178.27,,,274.25,,
2019-05-24,158.09,,,80.06,,,76.98,,,178.81,,,274.77,,
2019-05-28,154.56,,,78.03,,,75.71,,,178.39,,,278.25,,
2019-05-29,155.78,,,78.06,,,75.67,,,177.61,,,273.38,,
2019-05-30,159.39,,,77.61,,,76.52,,,178.82,,,274.51,,
2019-05-31,155.0,,,76.71,,,76.13,,,178.07,,,270.9,,
