Date,MMM,Prediction MMM,Outcome MMM
1/31/20,158.66,,
2/3/20,156.59,,
2/4/20,157.24,,
2/5/20,162.33,,
2/6/20,162.89,,
2/7/20,160.08,,
2/10/20,160.15,,
2/11/20,162.45,,
2/12/20,163.8,,
2/13/20,159.76,,
2/14/20,161.01,,
2/18/20,158.88,,
2/19/20,159.34,,
2/20/20,158.56,,
2/21/20,156.93,,
2/24/20,152.55,,
2/25/20,146.85,,
2/26/20,148.96,,
2/27/20,150.16,,
2/28/20,149.24,0,FALSE
3/2/20,153.02,,
3/3/20,145.24,,
3/4/20,153.98,,
3/5/20,151.41,,
3/6/20,153.65,,
3/9/20,144.06,,
3/10/20,153.3,,
3/11/20,147.24,,
3/12/20,133.58,,
3/13/20,141.68,,
3/16/20,130.91,,
3/17/20,134.44,,
3/18/20,137.02,,
3/19/20,137.51,,
3/20/20,124.89,,
3/23/20,117.87,,
3/24/20,132.72,,
3/25/20,131.54,,
3/26/20,136.18,,
3/27/20,133.24,,
3/30/20,137.74,,
3/31/20,136.51,,
4/1/20,133.14,,
4/2/20,137.91,,
4/3/20,133.79,,
4/6/20,140.7,,
4/7/20,144.6,,
4/8/20,148.99,,
4/9/20,147.78,,
