Date,AAP
2020-04-06,95.81
2020-04-07,99.44
2020-04-08,102.52
2020-04-09,106.86
Date,AAP
2020-04-06,95.81
2020-04-07,99.44
2020-04-08,102.52
2020-04-09,106.86
Date,AAP
2020-04-06,95.81
2020-04-07,99.44
2020-04-08,102.52
2020-04-09,106.86
