Date,MMM,Prediction MMM
2020-03-10,153.3,0.0
2020-03-11,147.24,0.0
2020-03-12,133.58,0.0
2020-03-13,141.68,0.0
2020-03-16,130.91,0.0
2020-03-17,134.44,0.0
2020-03-18,137.02,0.0
2020-03-19,137.51,0.0
2020-03-20,124.89,0.0
2020-03-23,117.87,0.0
2020-03-24,132.72,0.0
2020-03-25,131.54,0.0
2020-03-26,136.18,0.0
2020-03-27,133.24,0.0
2020-03-30,137.74,0.0
2020-03-31,136.51,0.0
2020-04-01,133.14,0.0
2020-04-02,137.91,0.0
2020-04-03,133.79,0.0
2020-04-06,140.7,0.0
2020-04-07,144.6,0.0
2020-04-08,148.99,0.0
2020-04-09,147.78,0.0
