Date,AAPL,AAP
2019-01-07,147.92999267578125,161.13999938964844
2019-01-08,150.75,160.02000427246094
2019-01-09,153.30999755859375,164.42999267578125
2019-01-10,153.8000030517578,165.07000732421875
2019-01-11,152.2899932861328,159.4199981689453
2019-01-14,150.0,158.72000122070312
2019-01-15,153.07000732421875,160.27999877929688
2019-01-16,154.94000244140625,162.44000244140625
2019-01-17,155.86000061035156,166.27999877929688
2019-01-18,156.82000732421875,167.61000061035156
2019-01-22,153.3000030517578,164.1300048828125
2019-01-23,153.9199981689453,164.3300018310547
2019-01-24,152.6999969482422,156.30999755859375
2019-01-25,157.75999450683594,153.22000122070312
2019-01-28,156.3000030517578,154.86000061035156
2019-01-29,154.67999267578125,155.38999938964844
2019-01-30,165.25,159.0399932861328
2019-01-31,166.44000244140625,159.1999969482422
2019-02-01,166.52000427246094,159.0399932861328
2019-02-04,171.25,161.35000610351562
2019-02-05,174.17999267578125,161.4600067138672
2019-02-06,174.24000549316406,157.22000122070312
2019-02-07,170.94000244140625,163.1300048828125
2019-02-08,170.41000366210938,162.41000366210938
2019-02-11,169.42999267578125,165.1300048828125
2019-02-12,170.88999938964844,167.88999938964844
2019-02-13,170.17999267578125,166.4600067138672
2019-02-14,170.8000030517578,168.74000549316406
2019-02-15,170.4199981689453,169.99000549316406
2019-02-19,170.92999267578125,167.13999938964844
2019-02-20,172.02999877929688,166.0
2019-02-21,171.05999755859375,161.30999755859375
2019-02-22,172.97000122070312,161.47000122070312
2019-02-25,174.22999572753906,157.7100067138672
2019-02-26,174.3300018310547,162.9199981689453
2019-02-27,174.8699951171875,158.3000030517578
2019-02-28,173.14999389648438,161.77999877929688
2019-03-01,174.97000122070312,160.6199951171875
2019-03-04,175.85000610351562,158.39999389648438
2019-03-05,175.52999877929688,157.30999755859375
2019-03-06,174.52000427246094,157.97000122070312
2019-03-07,172.5,154.1300048828125
2019-03-08,172.91000366210938,151.77000427246094
2019-03-11,178.89999389648438,155.4600067138672
2019-03-12,180.91000366210938,154.8699951171875
2019-03-13,181.7100067138672,154.6999969482422
