Date,ABBV,Prediction ABBV,ACN,Prediction ACN
2019-08-15,62.98,0.0,189.56,0.0
2019-08-16,64.43,0.0,193.22,0.0
2019-08-19,66.56,0.0,195.18,0.0
2019-08-20,66.41,0.0,194.2,0.0
2019-08-21,67.54,0.0,195.73,0.0
2019-08-22,67.52,0.0,196.34,0.0
2019-08-23,65.97,0.0,192.81,0.0
2019-08-26,66.46,0.0,195.47,0.0
2019-08-27,65.67,0.0,197.16,0.0
2019-08-28,66.07,0.0,196.84,0.0
2019-08-29,66.22,0.0,198.74,0.0
2019-08-30,65.74,0.0,198.17,0.0
2019-09-03,65.4,0.0,195.75,0.0
2019-09-04,66.38,0.0,197.71,0.0
2019-09-05,67.03,0.0,199.49,0.0
2019-09-06,67.62,1.0,201.12,1.0
2019-09-09,66.7,0.0,194.83,0.0
2019-09-10,68.18,0.0,189.66,0.0
2019-09-11,69.49,0.0,191.37,0.0
2019-09-12,70.83,0.0,195.52,0.0
2019-09-13,70.51,0.0,194.62,0.0
2019-09-16,70.58,0.0,194.16,0.0
2019-09-17,71.6,0.0,194.95,0.0
2019-09-18,71.27,0.0,194.13,0.0
2019-09-19,71.67,0.0,194.67,0.0
2019-09-20,72.39,0.0,193.09,0.0
2019-09-23,72.93,0.0,192.84,0.0
2019-09-24,72.95,0.0,190.14,0.0
2019-09-25,72.09,0.0,190.87,0.0
2019-09-26,74.03,0.0,192.12,0.0
2019-09-27,74.85,0.0,191.38,0.0
2019-09-30,75.72,0.0,192.35,0.0
2019-10-01,73.23,0.0,189.62,0.0
2019-10-02,72.13,0.0,184.85,0.0
2019-10-03,73.85,0.0,185.81,0.0
2019-10-04,74.66,0.0,189.64,0.0
2019-10-07,74.33,0.0,186.81,0.0
2019-10-08,73.53,0.0,182.2,0.0
2019-10-09,73.3,0.0,184.34,0.0
2019-10-10,74.45,0.0,183.83,0.0
2019-10-11,73.63,0.0,184.97,0.0
2019-10-14,73.76,0.0,185.5,0.0
2019-10-15,74.5,0.0,187.0,0.0
2019-10-16,74.75,0.0,186.57,0.0
2019-10-17,75.14,0.0,186.04,0.0
2019-10-18,76.46,0.0,187.08,0.0
2019-10-21,77.3,0.0,187.34,0.0
2019-10-22,77.87,0.0,182.72,0.0
2019-10-23,77.75,0.0,184.07,0.0
2019-10-24,76.8,0.0,185.0,0.0
2019-10-25,76.53,0.0,183.07,0.0
2019-10-28,78.33,0.0,182.87,0.0
2019-10-29,78.47,0.0,184.8,0.0
2019-10-30,79.66,0.0,186.58,0.0
2019-10-31,79.55,0.0,185.42,0.0
2019-11-01,81.75,0.0,188.22,0.0
2019-11-04,82.99,0.0,187.8,0.0
2019-11-05,81.84,0.0,186.88,0.0
2019-11-06,82.08,0.0,189.23,0.0
2019-11-07,82.01,0.0,189.09,0.0
2019-11-08,85.21,0.0,189.7,0.0
2019-11-11,85.66,0.0,190.06,0.0
2019-11-12,86.44,0.0,191.43,0.0
2019-11-13,86.66,0.0,194.5,0.0
2019-11-14,87.63,0.0,196.25,0.0
2019-11-15,88.63,0.0,196.81,0.0
2019-11-18,88.73,0.0,198.02,0.0
2019-11-19,89.02,0.0,198.34,0.0
2019-11-20,87.2,0.0,197.71,0.0
2019-11-21,86.52,0.0,196.78,0.0
2019-11-22,86.05,0.0,196.66,0.0
2019-11-25,87.76,0.0,198.36,0.0
2019-11-26,87.72,0.0,200.92,0.0
2019-11-27,88.33,0.0,201.25,0.0
2019-11-29,87.73,0.0,201.16,0.0
2019-12-02,87.03,0.0,199.59,0.0
2019-12-03,85.95,0.0,198.75,0.0
2019-12-04,87.2,0.0,199.58,0.0
2019-12-05,86.72,0.0,199.85,0.0
2019-12-06,86.98,0.0,202.55,0.0
2019-12-09,86.44,0.0,202.03,0.0
2019-12-10,86.56,0.0,201.88,0.0
2019-12-11,86.7,0.0,202.3,0.0
2019-12-12,88.73,0.0,203.92,0.0
2019-12-13,87.84,0.0,206.66,0.0
2019-12-16,89.43,0.0,205.0,0.0
2019-12-17,90.08,0.0,203.4,0.0
2019-12-18,89.33,0.0,205.76,0.0
2019-12-19,88.77,0.0,208.3,0.0
2019-12-20,89.29,0.0,211.1,0.0
2019-12-23,90.25,0.0,210.83,0.0
2019-12-24,89.85,0.0,211.61,0.0
2019-12-26,89.83,0.0,212.05,0.0
2019-12-27,89.2,0.0,212.22,0.0
2019-12-30,88.52,0.0,210.64,0.0
2019-12-31,88.54,0.0,210.57,0.0
2020-01-02,89.55,0.0,210.15,0.0
2020-01-03,88.7,0.0,209.8,0.0
2020-01-06,89.4,0.0,208.43,0.0
2020-01-07,88.89,0.0,203.93,0.0
2020-01-08,89.52,0.0,204.33,0.0
2020-01-09,90.21,0.0,206.15,0.0
2020-01-10,89.06,0.0,207.66,0.0
2020-01-13,88.52,0.0,209.59,0.0
2020-01-14,88.2,0.0,207.73,0.0
2020-01-15,89.26,0.0,207.26,0.0
2020-01-16,89.26,0.0,208.98,0.0
2020-01-17,88.0,0.0,209.2,0.0
2020-01-21,87.99,0.0,209.15,0.0
2020-01-22,87.21,0.0,209.41,0.0
2020-01-23,85.27,0.0,210.68,0.0
2020-01-24,83.54,0.0,208.57,0.0
2020-01-27,84.02,0.0,206.55,0.0
2020-01-28,83.77,0.0,210.24,0.0
2020-01-29,83.2,0.0,207.96,0.0
